"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"93";"Mothous";"settlement";"Mutah";"settlement";0,191452561717532;0,0806065442936951;-0,110846017423837
"94";"Dibon";"settlement";"Dhiban";"settlement";0,218120569158832;0,125947725458899;-0,0921728436999329
"95";"Madaba";"city";"Madaba";"settlement";0,235406506108904;0,134976057462091;-0,100430448646813
"96";"Bostra";"city";"Busrah";"settlement";0,364000201116195;0,0982142857142857;-0,265785915401909
"97";"Umm el-Walid";"settlement";"Umm al-Walid";"settlement";0,0306400522902107;0;-0,0306400522902107
"98";"Castra Mefaa";"fort";"Umm ar-Rasas";"settlement";0,021720549047212;0,00488826815642458;-0,0168322808907874
"99";"Rujm el-Farideyyeh";"fort";"Khirbat adh-Dharih";"settlement";0,0930162401327367;0;-0,0930162401327367
"100";"Basienis";"fort";"Azraq";"settlement";1,00558097440796e-05;0,0511771747805267;0,0511671189707827
"101";"Tyre";"city";"Sur";"city";0,251505857509176;0,280875897845172;0,0293700403359957
"102";"Paneas-Caesarea Philippi";"city";"Banyas";"settlement";0,0414399919553522;0,00793096568236233;-0,0335090262729899
"103";"Gedru";"settlement";"Jidru";"settlement";0,241761777867163;0,244862330407023;0,00310055253986041
"104";"Sidon";"city";"Sayda";"city";0,256201920659661;0,272745411013567;0,0165434903539063
"105";"Soada-Dionysias";"city";"Suwayda";"settlement";0,3081100105586;0,0706304868316042;-0,237479523726996
"106";"Ad Nonum-Ornithon Polis";"station";"Jisr Abu Aswad";"bridge";0,240555080697873;0,273393854748603;0,0328387740507301
"107";"Gischala";"settlement";"Jish";"settlement";0,0102971491779376;0,00279329608938547;-0,00750385308855208
"108";"Mothana";"settlement";"al-Anak";"station";0,0038010960832621;0,0172585794094174;0,0134574833261553
"109";"Gerra";"fort";"Qasr Anjar";"fort";0,016411081502338;0,318236233040702;0,301825151538364
"110";"Beirut";"city";"Bayrut";"city";0,253768414701594;0,275538707102953;0,0217702924013591
"111";"Byblos";"city";"Jubayl";"city";0,181979988938609;0,270151636073424;0,0881716471348145
"112";"Tripolis";"city";"Atrabulus";"city";0,178098446377395;0,273343974461293;0,0952455280838984
